,id,expiration_id,src_port,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets
id,1.0,-0.2218605569817831,-0.007037630946443042,-0.11038161673937488,-0.057331108760414064,0.008912375158008655,0.0,-0.15800837122644873,-0.5354571824455303,-0.5354572289390064,-0.2234435826974607,-0.07215131361737406,-0.06406346403812382,-0.5354571824455303,-0.535457229513833,-0.22488051283494662,-0.07649873113375516,-0.06267528713418162,0.24339058240444064,0.24339058236965128,0.0016616771885855693,-0.06136354594975867,-0.06226079183197304,-0.0907987010951067,-0.12143918609252492,-0.04972921746065128,-0.054500574291064315,-0.06720615948286374,-0.0979921083894636,-0.017126909500721217,-0.09658837926699344,0.2111727517895032,-0.03128854661889953,-0.03886175416970877,-0.034449349180629765,-0.043957944838416925,0.027761753144927976,0.2355485952692633,0.18059029563864312,-0.028361681687267465,0.05835813854356226,0.21714579177562912,0.15898280752091729,0.12492922543640632,0.19950123424535593,0.149907094204395,0.13563565091396437,0.1957827589267475,0.0,0.0,0.0,-0.06112018118403972,-0.06894484865717826,-0.06992168444970626,0.3586042761161195,0.12928394811177266,0.0,0.0,0.0,-0.06081108736603029
expiration_id,-0.2218605569817831,1.0,-0.44128807133995984,-0.08114139991208738,0.4889827810653121,-0.004584293379229349,0.0,-0.12375417885917514,0.2774015745636433,0.2774020504715259,0.9406682151592549,0.04294633789948043,0.005331909135177744,0.2774015745636433,0.2774020508181623,0.9418910435302589,0.06113064539031224,0.0067313785986297114,-0.3888915148219153,-0.38889151477326206,-0.01110968380394799,-0.001071960350531008,-0.025213695859929157,-0.026751172439659375,-0.061227179379346644,-0.06500749211843669,-0.04939851864044082,-0.028531955787178025,-0.035559495092012956,-0.05415740113204054,-0.04853905255847221,-0.32444688969306174,-0.06968085286894202,-0.053614283291403116,-0.052642421537377575,-0.014554673908011666,-0.03395344571240182,-0.10565825310947305,-0.06570366001962814,-0.018910696722698565,-0.048147289383119844,-0.10307969743000593,-0.06227223849744389,-0.037153185297907246,-0.05058995323441582,-0.027644751756749814,-0.02340848586983468,-0.24639408733679194,0.0,0.0,0.0,0.000127368690834794,-0.002341128248812316,-0.20869284136404592,-0.1616733274039013,-0.26747496908008733,0.0,0.0,0.0,0.0005856740501982776
src_port,-0.007037630946443042,-0.44128807133995984,1.0,0.31308169302708755,-0.030153264363088735,-0.015666519196074674,0.0,0.06385455148190056,-0.12844210414359242,-0.12844232969089225,-0.44502815637470206,0.037412140512026196,0.057919212327235806,-0.12844210414359242,-0.12844232838847144,-0.4429266381475897,0.02870263900836161,0.05608480859235176,0.34026681420133725,0.3402668141435988,-0.008498594415462715,0.05824758280555876,0.06791324404343546,0.04542135800947852,0.0995321792812034,0.09133081642374494,0.07593224234029944,0.028183598552280836,0.05188593488371561,0.013954028484414828,0.05928641861413089,0.27797169336054417,0.09539621610690205,0.0814247832155169,0.07764863828294147,-0.16790356301495063,-0.18062023417344727,-0.10378632682102863,-0.19076628644179927,-0.1678148312883067,-0.1804293307570034,-0.10762878029318616,-0.18275623146795197,0.0336918174242993,0.004834001088018363,-0.055933484792144925,-0.07460616613757777,0.37913590235328865,0.0,0.0,0.0,0.05802049202983469,0.06508909311770139,0.4057412793891258,0.181287809228148,0.44254227360811466,0.0,0.0,0.0,0.0576412121765553
dst_port,-0.11038161673937488,-0.08114139991208738,0.31308169302708755,1.0,0.5615656624714287,-0.008722179207456453,0.0,0.15444126646885187,0.12646183052320467,0.1264617527567213,-0.10925761252066613,-0.031537978839550694,-0.027023002397386933,0.12646183052320467,0.12646175294656908,-0.10889588916115282,-0.03513360347230643,-0.03364912266818084,-0.3751795695558075,-0.37517956954425824,-0.05424459398902016,-0.022735793509451138,0.11842532679282615,-0.07604620801933727,0.04745665500387474,0.17499640435428987,0.15136193542724297,-0.08358763926137093,-0.08693332470163108,-0.0016702777191849503,-0.08601848824794764,-0.26948375832312854,0.17230437696504267,0.15898220862958454,0.15557984331712468,-0.08611634508299315,-0.11144491806765336,-0.09487457372108724,-0.12183956204814182,-0.08338023085209438,-0.11586345870513638,-0.09417941153362777,-0.11530356945928046,-0.019571141848427037,-0.048255584775066,-0.04954741053156503,-0.04850259028701118,-0.1276562919002284,0.0,0.0,0.0,-0.02727059815018823,-0.028048534214031768,-0.28478259941844786,-0.023230975869999577,-0.19096468197404504,0.0,0.0,0.0,-0.029197366579831487
protocol,-0.057331108760414064,0.4889827810653121,-0.030153264363088735,0.5615656624714287,1.0,0.0800048662307443,0.0,-0.1134906518410053,0.23984666074855596,0.23984691742981812,0.5306986016461592,-0.022515807465166012,-0.04229099938644682,0.23984666074855596,0.23984691605133984,0.5285571209007981,-0.0120485629840977,-0.040374507485432365,-0.5862984246345014,-0.5862984245588697,-0.016135990484574557,-0.04765202744661013,-0.06116595056065637,0.17193410626384287,0.0748731994773281,-0.09009329967809379,-0.04399904918651948,0.18588533641597382,0.13476779174719583,-0.08825902054759517,0.10386140898721162,-0.4693633123238511,-0.10246550468552171,-0.07973397531789359,-0.07766557999930275,-0.11680798744791712,-0.11488513214805135,0.04003208180781346,0.07512257001288992,-0.10285924344868745,-0.11742375093413526,0.027592492345875106,0.07487507516201795,-0.05221570422154228,-0.07058816581078817,-0.011175923974498009,0.024804318914166606,-0.37174262909789124,0.0,0.0,0.0,-0.047034440536477366,-0.053254282112346875,-0.3080659387720442,-0.23865718179601927,-0.4010891504579602,0.0,0.0,0.0,-0.046578494133613715
ip_version,0.008912375158008655,-0.004584293379229349,-0.015666519196074674,-0.008722179207456453,0.0800048662307443,1.0,0.0,-0.011612666967850844,-0.005987229864632377,-0.005987232041472923,-0.005523648664231175,-0.0009791800673303107,-0.0008041731459475988,-0.005987229864632377,-0.005987232026945634,-0.005502866719359171,-0.0010635511759545173,-0.0007765195093248551,-0.010173330137679458,-0.01017333013764634,-0.0018202853467174749,-0.0007716168172225137,-0.0009867528973074248,-0.0033453447570078003,-0.004106681252822657,-0.0016486223281160282,-0.001614585889607697,-0.0036718069671388084,-0.003844463126852476,-0.001495649669340697,-0.003949753633228754,-0.008301052776308646,-0.0016873656876270553,-0.0012623739945055344,-0.0012579083495966887,-0.001251485920601969,-0.002258316197025983,-0.0034289986971187377,-0.0038966525398578845,-0.0013049365707809783,-0.0025061496767439457,-0.00327148803262156,-0.003709086389726547,-0.0008771646068978061,-0.0018514679694206164,-0.001822128251208902,-0.0018548709800628577,-0.005927613377417095,0.0,0.0,0.0,-0.0007499865689298903,-0.0008491649069802156,-0.0049122582046141955,-0.0038055024974179867,-0.006395557645820236,0.0,0.0,0.0,-0.0007427162862555418
vlan_id,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tunnel_id,-0.15800837122644873,-0.12375417885917514,0.06385455148190056,0.15444126646885187,-0.1134906518410053,-0.011612666967850844,0.0,1.0,0.12182748201885388,0.1218273883940427,-0.1394100695226517,-0.008963475574180804,-0.0024888933323405646,0.12182748201885388,0.1218273897030457,-0.13702076392471677,-0.012787012399674011,-0.002681422259963885,-0.15065049239814898,-0.15065049244608755,-0.08574609633635669,0.00029177987317380007,0.0025258751565119175,0.039314108512383435,-0.03010850685337519,-0.09536362276130385,-0.08199706461196471,3.775116871562118e-05,-0.006879687579273256,-0.029981683124688477,-0.014387863209300418,0.062230080569895214,-0.06996025438968113,-0.08890459681626812,-0.07833008114051968,-0.0209304141512337,-0.04599917222554824,-0.1100920752346107,-0.11815410726317448,-0.029876218624256188,-0.06507464298000121,-0.12001777771004436,-0.11618375376441108,-0.01079894062701593,-0.06568920630615546,-0.10497707896834749,-0.12087801822985461,-0.035435632408789344,0.0,0.0,0.0,-0.0010408568522437985,-0.002470579007263726,-0.05257387514774432,-0.03948277082211079,-0.02561234921103217,0.0,0.0,0.0,-0.0018067289956930305
bidirectional_first_seen_ms,-0.5354571824455303,0.2774015745636433,-0.12844210414359242,0.12646183052320467,0.23984666074855596,-0.005987229864632377,0.0,0.12182748201885388,1.0,0.9999999999998341,0.25876632527098203,0.05631581050465691,0.04429962270980302,1.0,0.9999999999998599,0.25941412556873855,0.06273967941495996,0.04839485995780931,-0.31937834826523365,-0.31937834823958283,-0.026770801947370484,0.04059013249578718,-0.058368569026104045,0.00668878667279222,-0.10832182542499004,-0.18999835476720775,-0.14687456566989537,-0.0024204666871579356,0.011401657453050327,-0.16882629810750946,-0.03927283707464831,-0.33121074396188777,-0.18116887545892316,-0.18007999556809934,-0.15708219410718233,-0.029261750336720932,-0.10590880146645167,-0.21280383490800842,-0.16328974976288302,-0.04008396695307356,-0.133820781174164,-0.19762884286341634,-0.15034844448741078,-0.12129684002532676,-0.18472319091689762,-0.13175621064819415,-0.12839544382442414,-0.40833273808917353,0.0,0.0,0.0,0.04382504212452535,0.045009242707266764,0.18822140430485382,-0.5062814320611357,-0.26844692807625775,0.0,0.0,0.0,0.045097806859993386
bidirectional_last_seen_ms,-0.5354572289390064,0.2774020504715259,-0.12844232969089225,0.1264617527567213,0.23984691742981812,-0.005987232041472923,0.0,0.1218273883940427,0.9999999999998341,1.0,0.25876683631739383,0.056315877129761376,0.04429967145339851,0.9999999999998341,0.9999999999999944,0.25941463613506227,0.06273975518835995,0.048394908903830296,-0.31937851693980085,-0.31937851691412267,-0.02677072621508302,0.04059017678372574,-0.058368546906355866,0.00668885613291669,-0.10832175875366583,-0.1899983550513172,-0.14687455741886232,-0.002420394040683414,0.011401738551722133,-0.1688262966214451,-0.039272760766356725,-0.33121087233121566,-0.18116888928878436,-0.18008000106120067,-0.15708220169759862,-0.029261736449692162,-0.10590876404333552,-0.21280377339877973,-0.1632896575249264,-0.040083953634836855,-0.1338207445242402,-0.19762878617122936,-0.15034835474935768,-0.1212968360813002,-0.18472316748995796,-0.1317561698472628,-0.12839539189447458,-0.4083328083293197,0.0,0.0,0.0,0.04382508673884678,0.04500929100268069,0.18822124213781738,-0.5062814269302983,-0.268447039710834,0.0,0.0,0.0,0.045097851622352914
bidirectional_duration_ms,-0.2234435826974607,0.9406682151592549,-0.44502815637470206,-0.10925761252066613,0.5306986016461592,-0.005523648664231175,0.0,-0.1394100695226517,0.25876632527098203,0.25876683631739383,1.0,0.1362130382715409,0.10045658568658615,0.25876632527098203,0.2587668355965274,0.9992910982875313,0.15457776979298718,0.10188588748611244,-0.3906009777528192,-0.3906009775884126,0.13134038396851863,0.09136180498514661,0.025281165674621537,0.12854724453140734,0.09369470471269653,-0.04968393809246341,-0.022941950851334318,0.13200752938186489,0.15101578137626612,-0.04097344385733616,0.12915691306835694,-0.320075782079976,-0.07213023201950676,-0.056627677232231464,-0.05450576146193137,0.017782197631786862,0.04091937032410739,0.057233604810988756,0.12614897190870325,0.013943304770297751,0.03228503557329934,0.052365693017785424,0.1249335612438671,-0.024186764501394613,-0.005028586063125881,0.04039795990356323,0.06158633913974464,-0.23390336413143542,0.0,0.0,0.0,0.09279478246235559,0.09982194017194504,-0.2473700907499285,-0.12164107068322345,-0.27328124556361016,0.0,0.0,0.0,0.09339441212792836
bidirectional_packets,-0.07215131361737406,0.04294633789948043,0.037412140512026196,-0.031537978839550694,-0.022515807465166012,-0.0009791800673303107,0.0,-0.008963475574180804,0.05631581050465691,0.056315877129761376,0.1362130382715409,1.0,0.9985918534072555,0.05631581050465691,0.05631587718436488,0.136406643575885,0.9994814105697467,0.9982553406552768,0.05591925177115275,0.05591925231274392,0.6763539002161741,0.9969827187792306,0.5431153442109858,-0.013037055904198135,0.19928848929446671,0.11130028271425157,0.048316330935819836,-0.014542504120125272,0.31273306880838597,0.016076528282968735,0.28857988814898444,0.055002177797427936,0.006185873360283375,-0.001863742068720763,0.0040890416799956725,-0.009630157185042454,-0.017392123747861366,-0.027357812760472996,-0.013425377175247399,-0.010197055210860185,-0.01965847022843726,-0.025973066336969473,-0.012583995187204924,-0.007816964981230926,-0.01476628144165779,-0.012889273715011588,-0.003535875785506762,0.15173156744892324,0.0,0.0,0.0,0.9985639208257133,0.9651365208869443,-0.04387361077756737,0.09394404450997136,0.10210719085465729,0.0,0.0,0.0,0.9983246882215555
bidirectional_bytes,-0.06406346403812382,0.005331909135177744,0.057919212327235806,-0.027023002397386933,-0.04229099938644682,-0.0008041731459475988,0.0,-0.0024888933323405646,0.04429962270980302,0.04429967145339851,0.10045658568658615,0.9985918534072555,1.0,0.04429962270980302,0.04429967151247755,0.10063518500582626,0.9973170889526369,0.9991392442782256,0.07127863798924655,0.07127863853044038,0.6789371022952456,0.9974034142429538,0.5543895809889159,-0.004986470797779133,0.21284748366196454,0.1251470453187176,0.06382496260849148,-0.006914383971295498,0.3207139158560091,0.01830825893291346,0.29665228566576496,0.06816267534762761,0.020937669676065803,0.011866401756994811,0.018822568723607273,-0.009161525259041316,-0.016080658667937415,-0.023548993248342545,-0.013106491163166529,-0.009566963841522237,-0.017909216101303055,-0.02244292007001227,-0.012271008317553159,-0.006513564627460826,-0.013043792519540957,-0.012039950445029268,-0.002862025292226663,0.16318455014553476,0.0,0.0,0.0,0.9993834889480983,0.9672446409751354,-0.03593865657614192,0.101354986060738,0.11389123729082942,0.0,0.0,0.0,0.9992838635279309
src2dst_first_seen_ms,-0.5354571824455303,0.2774015745636433,-0.12844210414359242,0.12646183052320467,0.23984666074855596,-0.005987229864632377,0.0,0.12182748201885388,1.0,0.9999999999998341,0.25876632527098203,0.05631581050465691,0.04429962270980302,1.0,0.9999999999998599,0.25941412556873855,0.06273967941495996,0.04839485995780931,-0.31937834826523365,-0.31937834823958283,-0.026770801947370484,0.04059013249578718,-0.058368569026104045,0.00668878667279222,-0.10832182542499004,-0.18999835476720775,-0.14687456566989537,-0.0024204666871579356,0.011401657453050327,-0.16882629810750946,-0.03927283707464831,-0.33121074396188777,-0.18116887545892316,-0.18007999556809934,-0.15708219410718233,-0.029261750336720932,-0.10590880146645167,-0.21280383490800842,-0.16328974976288302,-0.04008396695307356,-0.133820781174164,-0.19762884286341634,-0.15034844448741078,-0.12129684002532676,-0.18472319091689762,-0.13175621064819415,-0.12839544382442414,-0.40833273808917353,0.0,0.0,0.0,0.04382504212452535,0.045009242707266764,0.18822140430485382,-0.5062814320611357,-0.26844692807625775,0.0,0.0,0.0,0.045097806859993386
src2dst_last_seen_ms,-0.535457229513833,0.2774020508181623,-0.12844232838847144,0.12646175294656908,0.23984691605133984,-0.005987232026945634,0.0,0.1218273897030457,0.9999999999998599,0.9999999999999944,0.2587668355965274,0.05631587718436488,0.04429967151247755,0.9999999999998599,1.0,0.2594146361903852,0.06273975527477565,0.04839490896587679,-0.31937851810735823,-0.3193785180817037,-0.02677073129678228,0.04059017676141348,-0.058368546934145296,0.0066888565602941236,-0.10832175876445238,-0.18999835511413507,-0.1468745573357902,-0.0024203938135069453,0.011401738790647023,-0.16882629655630668,-0.0392727605224545,-0.33121087615582845,-0.18116888940132791,-0.18008000089339452,-0.15708220166047468,-0.02926173665745468,-0.10590876492167293,-0.2128037770456082,-0.16328966158925445,-0.0400839535162421,-0.13382074516914894,-0.19762878957458863,-0.15034835813749511,-0.1212968360205986,-0.18472316859801394,-0.13175617270490697,-0.12839539600465244,-0.4083328075776078,0.0,0.0,0.0,0.04382508679961012,0.04500929106948123,0.18822124263502735,-0.5062814263936789,-0.26844703893289323,0.0,0.0,0.0,0.04509785168185872
src2dst_duration_ms,-0.22488051283494662,0.9418910435302589,-0.4429266381475897,-0.10889588916115282,0.5285571209007981,-0.005502866719359171,0.0,-0.13702076392471677,0.25941412556873855,0.25941463613506227,0.9992910982875313,0.136406643575885,0.10063518500582626,0.25941412556873855,0.2594146361903852,1.0,0.15484152012322078,0.10207273338652016,-0.3930858513548204,-0.3930858511969077,0.12210601921722947,0.09138549273330289,0.0252116437283543,0.129392063311551,0.09366225018247522,-0.04992200453000968,-0.022878247091027003,0.1324835053670467,0.15152944423757952,-0.04096254369207671,0.12964271495359264,-0.32738699333472543,-0.07246507994103085,-0.056442545378494906,-0.05454625453621129,0.017395701469477904,0.03927863364939771,0.050487412878213955,0.11869871949897232,0.014145437400532727,0.031051925770882484,0.046069898816911474,0.1187246712832093,-0.02415107277839764,-0.007152052109691913,0.03512795491189001,0.054040232217319614,-0.23285534625372495,0.0,0.0,0.0,0.09297259701345291,0.10001472099372812,-0.2464796455873544,-0.1209844154165063,-0.27213032989008656,0.0,0.0,0.0,0.09357087843852625
src2dst_packets,-0.07649873113375516,0.06113064539031224,0.02870263900836161,-0.03513360347230643,-0.0120485629840977,-0.0010635511759545173,0.0,-0.012787012399674011,0.06273967941495996,0.06273975518835995,0.15457776979298718,0.9994814105697467,0.9973170889526369,0.06273967941495996,0.06273975527477565,0.15484152012322078,1.0,0.9976150360315764,0.04734340218389921,0.04734340272646831,0.6759028047218875,0.9939661225964064,0.529701467435497,-0.011031690157812038,0.1984766480536976,0.10977814887891374,0.048456498602648675,-0.012475846380935084,0.3148349276173071,0.01486576239163643,0.28998626911247,0.04668621858352539,0.00435148742977101,-0.0018191327222746641,0.0037243881977710148,-0.009897221057333311,-0.018012049005169856,-0.02931417552603667,-0.013547088353704722,-0.010550476458983125,-0.020649075679724377,-0.02819190917903531,-0.0128498721996515,-0.008484389551145794,-0.015703431473362423,-0.01348992313571699,-0.004306314012540365,0.14516552930759444,0.0,0.0,0.0,0.9968788689175839,0.964218953872505,-0.04802911860444547,0.08935253292510777,0.09557795731567376,0.0,0.0,0.0,0.9971549696142753
src2dst_bytes,-0.06267528713418162,0.0067313785986297114,0.05608480859235176,-0.03364912266818084,-0.040374507485432365,-0.0007765195093248551,0.0,-0.002681422259963885,0.04839485995780931,0.048394908903830296,0.10188588748611244,0.9982553406552768,0.9991392442782256,0.04839485995780931,0.04839490896587679,0.10207273338652016,0.9976150360315764,1.0,0.06836308184489479,0.06836308238595037,0.6781125048231393,0.9955389108165104,0.5193885475217139,-0.003987247435748015,0.20021413085400347,0.10367191100458086,0.04131925613192003,-0.005824536830116808,0.3221376619187204,0.018263510982599474,0.29747397782809887,0.06447125110336846,-0.002750012799192171,-0.008308012929128635,-0.0040977551175346225,-0.008836470523962095,-0.015502370949843521,-0.02278123571999327,-0.012683532804141029,-0.009229090214072878,-0.017302455236596324,-0.021818381895212756,-0.011953418015941271,-0.006290815814830534,-0.012599194804180112,-0.011658896178085605,-0.0028709080007382833,0.15707829237477808,0.0,0.0,0.0,0.9989766082906243,0.9661869641210618,-0.03529201924031912,0.09644236642597331,0.10958769794192791,0.0,0.0,0.0,0.9994714519734528
