feature,importance
cat__src_ip_10.100.200.1,9.670976805325508e-06
cat__server_fingerprint_f4febc55ea12b31ae17cfb7e614afda8,9.130134547378371e-06
cat__dst_ip_106.10.248.151,8.961135118074758e-06
cat__src_ip_10.100.200.10,8.946868571647382e-06
cat__dst_ip_23.12.226.5,8.739072691789115e-06
cat__dst_ip_18.66.41.90,8.261249339377032e-06
cat__src_ip_10.61.0.6,8.172201330517083e-06
cat__dst_ip_36.51.224.126,7.900204438865417e-06
cat__server_fingerprint_907bf3ecef1c987c889946b737b43de8,7.225455450564709e-06
cat__dst_ip_184.28.173.51,7.0021783285302145e-06
cat__src_ip_10.100.200.25,6.970400973869025e-06
cat__src_oui_f6:0d:74,6.937104259636557e-06
cat__dst_ip_23.65.124.98,6.841703838235305e-06
cat__dst_ip_208.82.238.145,6.6408472950577255e-06
cat__server_fingerprint_d90f617e08aa8f243bb5a988a9fe32d1,6.43475256103758e-06
cat__dst_ip_96.17.194.250,6.433047351239137e-06
cat__application_category_name_Media,6.317307110872714e-06
cat__dst_ip_151.101.195.1,5.741332214480754e-06
cat__application_category_name_Music,5.701507053670025e-06
cat__src_mac_f6:0d:74:3f:08:66,5.611935861129977e-06
cat__requested_server_name_etsy.com,5.6067259774933354e-06
cat__requested_server_name_m365.cloud.microsoft,5.520390220175949e-06
cat__dst_ip_208.82.238.129,5.479307089297082e-06
cat__dst_ip_10.100.200.23,5.465207388590002e-06
cat__server_fingerprint_a2c05b7498f29a65608835b44035c0c5,5.43319684913271e-06
cat__dst_oui_a2:48:1d,5.2958816674719524e-06
cat__dst_ip_108.158.57.229,5.237586003274316e-06
cat__dst_mac_f6:0d:74:3f:08:66,5.217405927069471e-06
cat__src_oui_ae:15:49,5.195794561267969e-06
cat__dst_oui_33:33:00,5.160184148228613e-06
cat__src_ip_10.100.200.216,5.0503297569761e-06
cat__dst_ip_10.60.0.1,5.0378952851986515e-06
cat__dst_ip_18.161.229.44,5.013957611646105e-06
cat__requested_server_name_www.adobe.com,4.971130200186602e-06
cat__dst_ip_151.101.129.224,4.962955147689523e-06
cat__requested_server_name_www.airbnb.co.in,4.897716963936578e-06
cat__src_ip_10.255.222.229,4.881703938620169e-06
cat__src_oui_32:dc:f9,4.849618341427357e-06
cat__dst_ip_151.101.2.137,4.842513549167818e-06
cat__dst_ip_52.84.150.60,4.753785161050263e-06
cat__dst_oui_f6:0d:74,4.671405998801364e-06
cat__dst_ip_ff02::2,4.577358095924489e-06
cat__dst_ip_49.44.178.41,4.5753155199163195e-06
cat__application_name_TLS.Wikipedia,4.574193050780742e-06
cat__src_ip_171.161.102.100,4.519675255742486e-06
cat__dst_ip_23.200.56.195,4.511461782637303e-06
cat__application_name_TLS.TikTok,4.494266209368961e-06
cat__dst_ip_162.125.248.18,4.38595240860081e-06
cat__requested_server_name_office.com,4.368559619471897e-06
cat__dst_ip_203.205.254.157,4.271575865544971e-06
cat__application_name_RTP,4.201881990347813e-06
cat__src_ip_fe80::90b0:39ff:fe36:787a,4.161573314829575e-06
cat__src_mac_32:dc:f9:a8:7c:d7,4.158532307823033e-06
cat__dst_ip_43.174.54.57,4.00082468652119e-06
cat__requested_server_name_walmart.com,3.997158121868331e-06
cat__dst_ip_47.246.173.30,3.991563222528524e-06
num__ip_version,3.972797295724601e-06
cat__dst_ip_13.107.6.156,3.958915904354175e-06
cat__dst_ip_23.220.193.3,3.95874528066045e-06
cat__src_mac_96:90:85:e1:7b:2d,3.909492227079909e-06
cat__requested_server_name_wikipedia.org,3.78957522241953e-06
cat__dst_ip_172.217.194.84,3.787318629114552e-06
cat__dst_ip_52.49.17.168,3.770677459655038e-06
cat__requested_server_name_qq.com,3.7390406107476813e-06
cat__dst_ip_35.186.224.24,3.7160404817931755e-06
cat__dst_ip_151.101.194.137,3.681737598607798e-06
cat__application_name_ICMPV6,3.6452830426026573e-06
cat__src_ip_fe80::180a:ccff:fe6f:e516,3.6425457225567432e-06
cat__dst_ip_23.193.114.81,3.6366129061194618e-06
cat__dst_ip_103.102.166.224,3.635405443521479e-06
cat__src_oui_96:90:85,3.622661013253919e-06
cat__application_name_TLS.Spotify,3.6199856531329723e-06
cat__dst_mac_a2:48:1d:a7:11:28,3.618730976321806e-06
cat__src_mac_92:b0:39:36:78:7a,3.6049435275960868e-06
cat__application_category_name_SocialNetwork,3.5890998928773746e-06
cat__dst_ip_23.63.108.96,3.5685132769757664e-06
cat__src_mac_1a:0a:cc:6f:e5:16,3.562947531884248e-06
cat__dst_ip_54.246.79.9,3.557863827924342e-06
cat__dst_ip_142.250.77.174,3.4859284188205012e-06
cat__dst_mac_33:33:00:00:00:02,3.4744862044169357e-06
cat__src_oui_1a:0a:cc,3.420322225359308e-06
cat__requested_server_name_forbes.com,3.3161729466390982e-06
cat__application_name_TLS.Sina(Weibo),3.3011300163921785e-06
cat__src_ip_184.27.197.99,3.257981094554912e-06
cat__src_ip_fe80::9490:85ff:fee1:7b2d,3.1950355019638822e-06
cat__dst_ip_18.172.64.101,3.1336834440488906e-06
cat__src_ip_23.12.213.246,3.1328888848092024e-06
cat__requested_server_name_bestbuy.com,3.131398900483005e-06
cat__requested_server_name_www.amazon.com,3.100199891775406e-06
cat__requested_server_name_www.sohu.com,3.0631368908326695e-06
cat__requested_server_name_paypal.com,3.04626664503445e-06
cat__dst_ip_10.100.200.25,3.0382896919389027e-06
cat__server_fingerprint_303951d4c50efb2e991652225a6f02b1,2.999373309604917e-06
cat__dst_ip_107.21.254.114,2.9132968414905956e-06
cat__dst_ip_52.94.228.167,2.8579000944217016e-06
cat__dst_ip_151.101.130.49,2.8397206706697904e-06
cat__src_ip_211.144.24.218,2.8317464991308362e-06
cat__requested_server_name_www.wellsfargo.com,2.7308458299004624e-06
cat__requested_server_name_youtube.com,2.727062405304932e-06
cat__dst_ip_142.250.195.169,2.724002829868072e-06
cat__dst_ip_192.0.77.40,2.7215930719958036e-06
cat__requested_server_name_washingtonpost.com,2.7033414803007362e-06
cat__dst_ip_204.79.197.203,2.6770386748713668e-06
cat__dst_ip_18.67.161.95,2.6712655469048704e-06
cat__src_oui_0e:0e:1e,2.652388813099202e-06
cat__server_fingerprint_77aba8c2fc7af389a21affb0253db465,2.6396099000635758e-06
cat__dst_ip_151.101.193.55,2.6289267161238704e-06
cat__dst_ip_151.101.194.187,2.6008733687427216e-06
cat__dst_ip_23.59.28.213,2.5963106992267287e-06
cat__src_ip_10.61.0.10,2.5727219761688798e-06
cat__src_mac_ae:15:49:da:42:8a,2.5720789038304266e-06
cat__dst_ip_54.243.237.216,2.557801047053602e-06
cat__requested_server_name_www.target.com,2.491980754285903e-06
cat__dst_ip_18.202.131.124,2.4901186149304437e-06
cat__dst_ip_211.45.27.231,2.4887779815947627e-06
cat__src_mac_56:eb:16:9c:da:6a,2.47434691225371e-06
cat__requested_server_name_www.tiktok.com,2.4733803707515953e-06
cat__dst_ip_192.168.51.14,2.3964628246877396e-06
cat__requested_server_name_tiktok.com,2.3502333966899587e-06
cat__dst_ip_23.63.108.224,2.3088586558074084e-06
cat__requested_server_name_samsung.com,2.2980304033101074e-06
cat__requested_server_name_www.washingtonpost.com,2.293592873846075e-06
cat__requested_server_name_www.airbnb.com,2.22090261161975e-06
cat__requested_server_name_www.spotify.com,2.205823180446784e-06
cat__application_name_TLS.Amazon,2.1969152837122714e-06
cat__src_oui_92:b0:39,2.1956932270834528e-06
cat__dst_mac_a6:0d:c3:c7:4a:8d,2.187366346822358e-06
cat__requested_server_name_usatoday.com,2.165141614419365e-06
cat__src_oui_0e:89:05,2.1600601145159644e-06
cat__application_category_name_Streaming,2.152693538812527e-06
cat__requested_server_name_imdb.com,2.1174456765987654e-06
cat__dst_ip_151.101.194.49,2.1088933091942895e-06
cat__dst_ip_146.75.74.62,2.105215885820392e-06
cat__src_ip_146.143.83.57,2.084354432659709e-06
cat__dst_ip_23.207.180.175,2.067778011152433e-06
cat__requested_server_name_www.hulu.com,2.0420804614463305e-06
cat__dst_ip_52.84.150.39,2.0308533222725072e-06
cat__application_name_TLS.Microsoft,2.020663010503178e-06
cat__src_ip_52.30.58.64,2.0083428248142674e-06
cat__requested_server_name_www.walmart.com,1.9641389203199274e-06
cat__application_name_TLS.YouTube,1.95339705843472e-06
cat__dst_ip_151.101.65.55,1.928367445564016e-06
cat__dst_ip_184.28.173.43,1.925390627716353e-06
cat__dst_ip_184.86.112.121,1.9246934165105608e-06
cat__requested_server_name_chase.com,1.903729240373712e-06
cat__src_mac_b2:f2:29:65:48:b9,1.8957112703049381e-06
cat__server_fingerprint_475c9302dc42b2751db9edcac3b74891,1.879416193053678e-06
cat__src_ip_fe80::4d4:4cff:fe80:7e02,1.8736468353729117e-06
cat__requested_server_name_netflix.com,1.8729130190345367e-06
cat__dst_ip_199.232.105.224,1.8593431116225177e-06
cat__dst_ip_199.232.212.194,1.8582327519101072e-06
cat__dst_ip_171.159.228.150,1.8245347845663587e-06
cat__requested_server_name_soundcloud.com,1.8191956806032326e-06
cat__server_fingerprint_ea4ac9a2c0ba2e422112132cdbb985ea,1.8116263118887535e-06
cat__application_name_TLS.Google,1.8067481545405557e-06
cat__dst_ip_208.82.238.1,1.8005558195910305e-06
cat__requested_server_name_tumblr.com,1.7710405185779393e-06
cat__dst_ip_208.82.238.146,1.7441607769125605e-06
cat__requested_server_name_allrecipes.com,1.7425190120674003e-06
cat__requested_server_name_www.msn.com,1.7325705758944126e-06
cat__requested_server_name_aliexpress.com,1.725360240064455e-06
cat__application_category_name_Video,1.7193977477381496e-06
cat__dst_ip_74.6.143.25,1.7027114611753167e-06
cat__requested_server_name_www.allrecipes.com,1.684524722882884e-06
cat__dst_ip_23.200.57.4,1.678903264704898e-06
cat__dst_ip_23.65.124.89,1.6759120075964882e-06
cat__dst_ip_69.48.216.7,1.6721840259983747e-06
cat__requested_server_name_medium.com,1.6626034902895266e-06
cat__requested_server_name_newslab.iith.ac.in,1.6613805789502244e-06
cat__requested_server_name_airbnb.com,1.6541823605177999e-06
cat__dst_ip_151.101.129.21,1.6447996824502254e-06
cat__requested_server_name_www.quora.com,1.63626772041976e-06
cat__requested_server_name_geo.craigslist.org,1.6315097468015273e-06
cat__dst_ip_162.159.153.247,1.629039004940472e-06
cat__requested_server_name_www.wikipedia.org,1.6103464775477504e-06
cat__requested_server_name_www.forbes.com,1.5976142878839447e-06
cat__dst_ip_146.143.83.57,1.5891042151787154e-06
cat__requested_server_name_facebook.com,1.5559053664727579e-06
cat__requested_server_name_bbc.com,1.5449956479053861e-06
cat__dst_ip_23.211.137.138,1.5424369376834276e-06
cat__requested_server_name_uber.com,1.5199270197494659e-06
cat__src_mac_06:d4:4c:80:7e:02,1.4889774240953892e-06
cat__dst_ip_13.127.99.68,1.4783884537605384e-06
cat__requested_server_name_www.foodnetwork.com,1.4644023638139827e-06
cat__requested_server_name_spotify.com,1.462451114219037e-06
cat__requested_server_name_fandom.com,1.4520207709145326e-06
cat__dst_ip_23.64.1.216,1.446377311435387e-06
cat__dst_ip_18.67.195.72,1.4391556886456726e-06
cat__requested_server_name_open.spotify.com,1.435568877700841e-06
cat__dst_ip_208.82.238.241,1.4344740738555203e-06
cat__server_fingerprint_389ed42c02ebecc32e73aa31def07e14,1.432274784959208e-06
cat__application_name_TLS.Facebook,1.4310870407359096e-06
cat__dst_ip_18.161.246.70,1.4281792035032525e-06
cat__requested_server_name_www.blogger.com,1.361417594017052e-06
cat__server_fingerprint_ccd5709d4a9027ec272e98b9924c36f7,1.3573191513010955e-06
cat__application_name_TLS.NetFlix,1.3505302861310193e-06
cat__dst_ip_49.44.178.58,1.3487880626618718e-06
cat__application_name_TLS.Alibaba,1.3468110037572796e-06
cat__application_category_name_Collaborative,1.3442115135169844e-06
cat__dst_ip_151.101.66.137,1.3406290582325102e-06
cat__requested_server_name_blogspot.com,1.3374555309256534e-06
cat__dst_ip_52.30.58.64,1.332789371378426e-06
cat__application_name_TLS.Slack,1.3294753259236694e-06
cat__dst_ip_151.101.65.164,1.3079090166690888e-06
cat__requested_server_name_www.zillow.com,1.3027666168736351e-06
cat__dst_ip_212.82.100.163,1.3016119186790534e-06
cat__dst_ip_192.168.36.56,1.2944135003183994e-06
cat__requested_server_name_www.chase.com,1.2867967423134756e-06
cat__requested_server_name_www.etsy.com,1.2854837527284614e-06
cat__dst_ip_52.94.237.74,1.2793688826409053e-06
cat__dst_oui_a6:0d:c3,1.2756898891364146e-06
cat__requested_server_name_quora.com,1.2727239502169308e-06
cat__requested_server_name_iith.ac.in,1.2673415160628566e-06
cat__src_mac_0e:89:05:a8:31:37,1.263732066898683e-06
cat__requested_server_name_accounts.google.com,1.2618819392482249e-06
cat__requested_server_name_refinery29.com,1.261832962203622e-06
cat__src_oui_06:d4:4c,1.25270733541093e-06
cat__application_category_name_Cloud,1.2291131009039717e-06
cat__dst_ip_142.250.195.105,1.2244532961197672e-06
cat__dst_ip_23.65.124.96,1.2225998882568079e-06
cat__dst_ip_216.137.52.41,1.2211537711416823e-06
cat__dst_ip_162.159.153.4,1.2180861324542343e-06
cat__requested_server_name_weibo.com,1.217838809957749e-06
cat__requested_server_name_yahoo.com,1.2024706354263443e-06
cat__requested_server_name_techcrunch.com,1.20120527457424e-06
cat__dst_ip_195.8.215.136,1.192547741352066e-06
cat__application_name_TLS.Dropbox,1.1863620313132713e-06
cat__requested_server_name_www.paypal.com,1.1846123300027549e-06
cat__src_mac_0e:0e:1e:7a:ed:47,1.1776907775884637e-06
cat__server_fingerprint_9a022b14200c7389ebbb1436d5cf1339,1.1726445786143487e-06
cat__src_ip_47.103.24.173,1.1684286762227988e-06
cat__requested_server_name_duckduckgo.com,1.1645154046225362e-06
cat__requested_server_name_www.bbc.com,1.1604511640918432e-06
