,benign,bruteForce,ddos_slowloris,ddos_tcp_ddos,pfcp_session_deletion,pfcp_session_establishment,pfcp_session_modification
id,0.01899335232668566,0.006498148027812073,0.007002065609354759,0.004441187573557169,0.01307531380753138,0.02635740643120717,0.014398848092152626
expiration_id,92.48812915479581,99.97725648190266,99.99649896719532,99.70244043257168,45.18174686192469,53.65050079072219,45.7163426925846
src_port,11.771130104463438,13.54214048996036,13.825578545670972,1.3834299291630583,26.30099372384937,1.5682656826568264,26.853851691864648
dst_port,11.771130104463438,13.54214048996036,13.825578545670972,1.3834299291630583,26.30099372384937,1.5682656826568264,26.853851691864648
protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ip_version,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vlan_id,100.0,100.0,100.0,100.0,100.0,100.0,100.0
tunnel_id,44.01234567901234,35.16797712651894,35.1188600637188,57.66660004885307,38.94482217573222,75.84343700579863,37.67458603311735
bidirectional_first_seen_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_last_seen_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_duration_ms,22.692307692307693,78.93625316784716,77.91898610089977,46.20389492150201,43.49503138075314,45.466526093832364,43.99208063354932
bidirectional_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_first_seen_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_last_seen_ms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_duration_ms,24.207027540360873,88.22860484761843,87.78489654448062,47.582883663091515,43.49503138075314,45.466526093832364,43.99208063354932
src2dst_packets,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_bytes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_first_seen_ms,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_last_seen_ms,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_duration_ms,71.08736942070276,88.19936318149327,87.83040997094143,56.6673328448027,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_packets,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_bytes,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
bidirectional_min_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_mean_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bidirectional_stddev_ps,65.86894586894587,47.875105594905456,47.80660294786962,33.94621721848422,97.24764644351464,97.57511860832894,97.21382289416847
bidirectional_max_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_min_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_mean_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src2dst_stddev_ps,74.19278252611586,85.8957697056339,85.47421489339355,59.560766548975195,97.24764644351464,99.92092778070638,97.2462203023758
src2dst_max_ps,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dst2src_min_ps,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_mean_ps,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_stddev_ps,75.37511870845204,86.36038728962245,86.0693904701887,64.53933781893278,100.0,100.0,99.96760259179266
dst2src_max_ps,66.03988603988604,29.36513093768276,29.293141476735634,20.60266915373171,97.2737970711297,97.61465471797575,97.2174226061915
bidirectional_min_piat_ms,74.71509971509973,91.16901683020339,91.1003746105101,94.38189771945018,46.450052301255226,52.54348972061149,47.10943124550036
bidirectional_mean_piat_ms,22.692307692307693,78.93625316784716,77.91898610089977,46.20389492150201,43.49503138075314,45.466526093832364,43.99208063354932
bidirectional_stddev_piat_ms,27.492877492877493,87.18565208915459,86.77309806392886,48.55772433548731,44.61950836820084,45.611491829204006,45.169186465082795
bidirectional_max_piat_ms,22.692307692307693,78.93625316784716,77.91898610089977,46.20389492150201,43.49503138075314,45.466526093832364,43.99208063354932
src2dst_min_piat_ms,75.8641975308642,90.35349925271298,90.53320729615237,64.62594097661714,46.450052301255226,51.410121244069586,47.10583153347732
src2dst_mean_piat_ms,24.207027540360873,88.22860484761843,87.78489654448062,47.582883663091515,43.49503138075314,45.466526093832364,43.99208063354932
src2dst_stddev_piat_ms,27.939221272554605,96.06537136915979,96.19437734131569,52.152865676281834,44.61950836820084,45.62467053241961,45.169186465082795
src2dst_max_piat_ms,24.207027540360873,88.22860484761843,87.78489654448062,47.582883663091515,43.49503138075314,45.466526093832364,43.99208063354932
dst2src_min_piat_ms,98.73219373219374,90.29176684644877,90.22511640934076,77.24779606066662,99.37892259414227,99.57828149710069,99.28365730741541
dst2src_mean_piat_ms,71.08736942070276,88.19936318149327,87.83040997094143,56.6673328448027,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_stddev_piat_ms,71.62393162393163,96.37403340048087,96.49196512971326,67.64372793284925,97.2737970711297,97.61465471797575,97.2174226061915
dst2src_max_piat_ms,71.08736942070276,88.19936318149327,87.83040997094143,56.6673328448027,97.2737970711297,97.61465471797575,97.2174226061915
bidirectional_syn_packets,60.845204178537514,62.937812723373845,62.91706053285719,59.72509048919681,99.9411610878661,99.93410648392198,99.94960403167747
bidirectional_cwr_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bidirectional_ece_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bidirectional_urg_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bidirectional_ack_packets,67.70180436847103,44.42133991812334,44.403599061723206,23.584926609375348,100.0,100.0,100.0
bidirectional_psh_packets,72.41690408357076,100.0,100.0,63.43126151933027,100.0,100.0,100.0
bidirectional_rst_packets,92.56410256410257,44.42133991812334,44.403599061723206,96.35378500210956,100.0,100.0,100.0
bidirectional_fin_packets,77.16524216524216,100.0,100.0,45.91299713543401,100.0,100.0,100.0
src2dst_syn_packets,60.845204178537514,62.937812723373845,62.91706053285719,59.72509048919681,99.9411610878661,99.93410648392198,99.94960403167747
src2dst_cwr_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
src2dst_ece_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
src2dst_urg_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
src2dst_ack_packets,71.11585944919278,81.4835271947495,81.48653852886602,24.446516998645436,100.0,100.0,100.0
src2dst_psh_packets,79.46343779677113,100.0,100.0,66.85985832611641,100.0,100.0,100.0
src2dst_rst_packets,97.340930674264,100.0,100.0,97.31530211178469,100.0,100.0,100.0
src2dst_fin_packets,77.83475783475784,100.0,100.0,56.16103746141719,100.0,100.0,100.0
dst2src_syn_packets,76.5289648622982,100.0,100.0,63.289143516976445,100.0,100.0,100.0
dst2src_cwr_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_ece_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_urg_packets,100.0,100.0,100.0,100.0,100.0,100.0,100.0
dst2src_ack_packets,69.55365622032289,62.937812723373845,62.91706053285719,28.665645193524746,100.0,100.0,100.0
dst2src_psh_packets,76.17758784425452,100.0,100.0,84.53800546266072,100.0,100.0,100.0
dst2src_rst_packets,95.10921177587845,44.42133991812334,44.403599061723206,99.01183576488353,100.0,100.0,100.0
dst2src_fin_packets,78.23361823361823,100.0,100.0,64.27064597073257,100.0,100.0,100.0
application_is_guessed,70.86419753086419,62.950809019429464,44.403599061723206,38.238625008327226,100.0,100.0,100.0
application_confidence,23.129154795821464,49.31769445707973,30.479991597521266,19.239224568649657,73.69900627615063,98.43173431734317,73.14614830813535
udps.heartbeat_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.heartbeat_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.pfd_management_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.pfd_management_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_setup_request_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_setup_response_counter,100.0,100.0,100.0,100.0,100.0,100.0,100.0
udps.association_update_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_update_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_release_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.association_release_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.version_not_supported_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.node_report_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.node_report_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_set_deletion_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_set_deletion_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_establishment_request_counter,100.0,100.0,100.0,99.99777940621321,100.0,53.479177648919354,100.0
udps.session_establishment_response_counter,100.0,100.0,100.0,99.99777940621321,100.0,100.0,100.0
udps.session_modification_request_counter,100.0,100.0,100.0,99.91561743610241,100.0,100.0,74.1036717062635
udps.session_modification_response_counter,100.0,100.0,100.0,99.91339684231563,100.0,100.0,74.11447084233261
udps.session_deletion_request_counter,100.0,100.0,100.0,99.99777940621321,73.00601464435147,100.0,100.0
udps.session_deletion_response_counter,100.0,100.0,100.0,99.99777940621321,74.55543933054393,100.0,100.0
udps.session_report_request_counter,92.41215574548907,98.50542595360322,98.64860133739452,92.33451024804033,97.2541841004184,95.2161307327359,97.2066234701224
udps.session_report_response_counter,96.70465337132003,98.09604262785106,98.49455589398872,91.03990407034841,97.2737970711297,95.18977332630469,97.21382289416847
label,0.0,0.0,0.0,7.132547243132814,0.0,0.0,0.0
